Election Date,Election Type,Parliament,Province,Riding,Last Name,First Name,Gender,Occupation,Party,Votes,Votes (%),Elected,lat,lon
1995-02-13,B/P,35,Quebec,brome,Paradis,Denis,,lawyer,Liberal,19078,51.02,1,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Bertrand,Jean-François,,communication consultant,Bloc Québécois,15764,42.16,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Lever,Guy,,administrator,Progressive Conservative,1235,3.3,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Maheux,Line,,marketing consultant,Reform Party of Canada,517,1.38,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Vachon,Paul,,retired,New Democratic Party,371,0.99,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Blaquière,Jean,,retired,Christian Heritage Party of Canada,126,0.34,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Boulanger,Yvon V.,,manufacturer,Independent,107,0.29,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Ferland,Eric,,advertising representative,Green Party of Canada,101,0.27,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Champagne,Michel,,biological producer,Natural Law Party of Canada,77,0.21,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,brome,Long,John H.,,businessman,Abolitionist Party of Canada,15,0.04,0,45.189207,-72.5628566
1995-02-13,B/P,35,Quebec,saint-henri,Robillard,Lucienne,F,,Liberal,12675,75.91,1,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Meggs,Anne Michèle,,councillor,Bloc Québécois,2357,14.12,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Gould,Jay,,public relations consultant,Progressive Conservative,545,3.26,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Morency,Gaetan,,businessman,Reform Party of Canada,468,2.8,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Elbourne,Ann,,school teacher,New Democratic Party,296,1.77,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Glass,Gerald,,bookseller,Green Party of Canada,213,1.28,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Blatter,Rick,,productivity consultant,Libertarian Party of Canada,64,0.38,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,August,Arnold,,researcher,Marxist-Leninist Party,47,0.28,0,45.4784602,-73.5846178
1995-02-13,B/P,35,Quebec,saint-henri,Faguy,Allen,,businessman,Natural Law Party of Canada,32,0.19,0,45.4784602,-73.5846178
1996-03-25,B/P,35,Quebec,lac-saint-jean,Tremblay,Stéphan,,bush pilot,Bloc Québécois,20777,76.56,1,48.58333595,-72.0048796541929
1996-03-25,B/P,35,Quebec,lac-saint-jean,Lajoie,Clément,,school transport manager,Liberal,5846,21.54,0,48.58333595,-72.0048796541929
1996-03-25,B/P,35,Quebec,lac-saint-jean,Harris,Philippe,,student,Progressive Conservative,205,0.76,0,48.58333595,-72.0048796541929
1996-03-25,B/P,35,Quebec,lac-saint-jean,Simard,Denis,M,lawyer,Reform Party of Canada,175,0.64,0,48.58333595,-72.0048796541929
1996-03-25,B/P,35,Quebec,lac-saint-jean,Bélanger,Karl,,student,New Democratic Party,136,0.5,0,48.58333595,-72.0048796541929
1996-03-25,B/P,35,Quebec,papineau,Pettigrew,Pierre S.,,cabinet minister,Liberal,15330,59.2,1,45.852553,-75.1414806
1996-03-25,B/P,35,Quebec,papineau,Turp,Daniel,,professor,Bloc Québécois,8787,33.93,0,45.852553,-75.1414806
1996-03-25,B/P,35,Quebec,papineau,Laurent,Raymond,,organizer,New Democratic Party,899,3.47,0,45.852553,-75.1414806
1996-03-25,B/P,35,Quebec,papineau,Roy-Arcelin,Nicole,,nurse,Progressive Conservative,608,2.35,0,45.852553,-75.1414806
