x,y,STATION_NAME,STN_ID,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.7.26,1994-07-26 00:00:00,QC,1994,7,26,22,,17.3,,26.7,,4.5,,,M,,M,,,0,,0,,4,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.7.27,1994-07-27 00:00:00,QC,1994,7,27,19.6,,15.6,,23.5,,1.2,,,M,,M,,,0,,0,,1.6,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.7.28,1994-07-28 00:00:00,QC,1994,7,28,19.1,,17,,21.2,,0,,,M,,M,,,0,,0,,1.1,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.7.29,1994-07-29 00:00:00,QC,1994,7,29,21.7,,16.4,,27,,0,,,M,,M,,,0,,0,,3.7,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.7.30,1994-07-30 00:00:00,QC,1994,7,30,20.9,,18,,23.7,,1.2,,,M,,M,,,0,,0,,2.9,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.7.31,1994-07-31 00:00:00,QC,1994,7,31,22.4,,17.7,,27.1,,1.4,,,M,,M,,,0,,0,,4.4,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.1,1994-08-01 00:00:00,QC,1994,8,1,23.9,,19.3,,28.5,,1.2,,,M,,M,,,0,,0,,5.9,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.2,1994-08-02 00:00:00,QC,1994,8,2,16.7,,13.4,,19.9,,26.8,,,M,,M,,,0,,0,,0,,1.3,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.3,1994-08-03 00:00:00,QC,1994,8,3,20.7,,17,,24.3,,0,,,M,,M,,,0,,0,,2.7,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.4,1994-08-04 00:00:00,QC,1994,8,4,22.9,,17.9,,27.8,,3.1,,,M,,M,,,22,,32,,4.9,,0,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.5,1994-08-05 00:00:00,QC,1994,8,5,14.6,,11.2,,18,,0,,,M,,M,,,1,,33,,0,,3.4,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.6,1994-08-06 00:00:00,QC,1994,8,6,16.6,,11.4,,21.8,,0,,,M,,M,,,0,,0,,0,,1.4,,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.7,1994-08-07 00:00:00,QC,1994,8,7,18.2,E,12.6,E,23.7,,0,,,M,,M,,,,M,,M,0.2,E,0,E,,,,
-73.57916666666667,45.50474166666667,MCTAVISH,10761,7024745,7024745.1994.8.8,1994-08-08 00:00:00,QC,1994,8,8,20.4,,14.7,,26,,1.2,,,M,,M,,,0,,0,,2.4,,0,,,,,
